epoch,trainin_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,training_time,val_time
1,0.05853006632086855,0.04211696094299307,0.9814193952686825,0.8215651759185514,0.9823198896745063,2:17:49,0:11:12
2,0.04051322145454796,0.04176349400429872,0.982260170243877,0.8276868414717483,0.9829633087529047,2:17:56,0:11:13
3,0.030809871784937118,0.05217397055739,0.984108830748342,0.8328674325326744,0.9843791279885395,2:17:34,0:11:12
4,0.022517112219886552,0.06069385316048506,0.9833933886887043,0.8309891260709995,0.9836650987582587,2:17:50,0:11:12
5,0.01586369699215701,0.07158644131523512,0.9836179434957439,0.8315185933092213,0.9838390505697937,2:17:40,0:11:08
